 date     , product_id   , purchase , add_to_cart , click , view  
9022024, DQProduk-009 ,16,174,577,680
10022024, DQProduk-001 ,134,1538,7652,9869
10022024, DQProduk-009 ,87,783,2600,3616
11022024, DQProduk-001 ,138,1251,5180,8320
11022024, DQProduk-009 ,92,928,3177,5091
12022024, DQProduk-001 ,106,1003,5262,5284
12022024, DQProduk-009 ,41,434,1414,1573
13022024, DQProduk-001 ,50,508,2734,3267
13022024, DQProduk-009 ,36,407,1225,1369
14022024, DQProduk-001 ,76,843,3502,4345
15022024, DQProduk-001 ,112,1286,5373,5675
15022024, DQProduk-009 ,28,328,1617,3051
16022024, DQProduk-001 ,73,855,4110,5479
16022024, DQProduk-009 ,24,238,1016,1683
17022024, DQProduk-001 ,79,760,2915,3865
17022024, DQProduk-009 ,31,337,1304,2589
18022024, DQProduk-001 ,63,729,4222,6866
18022024, DQProduk-009 ,13,116,650,1035
19022024, DQProduk-001 ,89,838,4325,8194
19022024, DQProduk-009 ,7,79,239,356
20022024, DQProduk-001 ,60,709,2550,3114
20022024, DQProduk-009 ,14,121,593,945
21022024, DQProduk-001 ,68,688,3045,3955
21022024, DQProduk-009 ,18,204,1222,1464
22022024, DQProduk-001 ,126,1172,6396,7829
22022024, DQProduk-003 ,9,92,496,663
23022024, DQProduk-001 ,83,908,5180,5871
23022024, DQProduk-009 ,55,440,2300,4168
24022024, DQProduk-001 ,159,1699,5502,9888
24022024, DQProduk-009 ,9,83,345,492
25022024, DQProduk-001 ,171,1912,8586,15405
25022024, DQProduk-009 ,24,239,1169,1623
26022024, DQProduk-001 ,180,2042,11488,12744
26022024, DQProduk-009 ,16,170,799,1247
27022024, DQProduk-001 ,93,1041,4427,7463
27022024, DQProduk-009 ,18,167,754,1470
28022024, DQProduk-001 ,97,1022,3586,4297
1032024, DQProduk-001 ,74,637,2238,2443
1032024, DQProduk-009 ,30,340,1515,1754
2032024, DQProduk-001 ,172,1425,7434,14859
3032024, DQProduk-001 ,63,722,2576,4246
4032024, DQProduk-001 ,122,1213,4330,7195
4032024, DQProduk-009 ,12,109,340,397
5032024, DQProduk-001 ,117,1057,3188,4311
5032024, DQProduk-009 ,5,58,224,434
6032024, DQProduk-001 ,165,1712,10041,18185
6032024, DQProduk-009 ,3,28,114,142
7032024, DQProduk-001 ,44,514,1892,1917
8032024, DQProduk-001 ,148,1307,4153,7230
9032024, DQProduk-001 ,215,2110,6867,10268
10032024, DQProduk-001 ,97,1112,6107,8936
11032024, DQProduk-001 ,108,1166,5081,9354
12032024, DQProduk-001 ,138,1399,5175,9233
12032024, DQProduk-009 ,15,138,670,1167
13032024, DQProduk-001 ,100,1144,6538,11145
14032024, DQProduk-001 ,34,375,1783,2390
14032024, DQProduk-009 ,56,584,2055,2670
15032024, DQProduk-001 ,69,686,3315,5205
15032024, DQProduk-009 ,137,1624,6748,9134
16032024, DQProduk-001 ,123,1234,5917,6347
16032024, DQProduk-009 ,95,1123,6729,12418
17032024, DQProduk-001 ,110,904,3035,3690
17032024, DQProduk-009 ,32,366,1622,1886
18032024, DQProduk-001 ,303,3256,9872,13611
18032024, DQProduk-009 ,83,918,3586,5383
19032024, DQProduk-001 ,190,1675,8906,13503
19032024, DQProduk-009 ,61,541,2418,3019
20032024, DQProduk-001 ,115,1175,5454,8615
20032024, DQProduk-009 ,28,283,1512,2819
21032024, DQProduk-001 ,89,957,5441,5879
21032024, DQProduk-009 ,23,187,852,1451
22032024, DQProduk-001 ,82,937,5204,10066
22032024, DQProduk-009 ,11,96,340,361
23032024, DQProduk-001 ,152,1533,6846,12523
23032024, DQProduk-009 ,45,539,2871,5073
24032024, DQProduk-001 ,92,1032,5787,8926
24032024, DQProduk-009 ,18,168,586,889
25032024, DQProduk-001 ,121,1236,5875,9357
25032024, DQProduk-009 ,14,137,681,1203
26032024, DQProduk-001 ,143,1210,7241,7262
27032024, DQProduk-001 ,66,740,2894,5146
27032024, DQProduk-009 ,5,43,221,364
28032024, DQProduk-001 ,70,629,3702,3876
29032024, DQProduk-001 ,113,1255,4320,8573
29032024, DQProduk-009 ,18,180,1023,1045
30032024, DQProduk-001 ,67,735,2558,4062
30032024, DQProduk-009 ,29,260,1460,1933
31032024, DQProduk-001 ,122,1009,4379,8644
1042024, DQProduk-001 ,165,1692,7319,12812
1042024, DQProduk-009 ,34,406,1264,1898
2042024, DQProduk-001 ,143,1239,6580,9079
2042024, DQProduk-009 ,4,36,153,194
3042024, DQProduk-001 ,159,1540,4710,7049
3042024, DQProduk-009 ,50,573,2909,5475
4042024, DQProduk-001 ,76,643,2751,4971
4042024, DQProduk-009 ,19,174,630,669
5042024, DQProduk-001 ,93,892,2948,4338
5042024, DQProduk-009 ,2,21,109,156
6042024, DQProduk-001 ,94,1012,3979,7345
7042024, DQProduk-001 ,165,1711,8705,9921
7042024, DQProduk-009 ,15,121,531,948
8042024, DQProduk-001 ,172,1860,10237,16816
8042024, DQProduk-009 ,4,33,111,185
9042024, DQProduk-001 ,104,1061,3971,7333
10042024, DQProduk-001 ,222,2168,8923,14873
11042024, DQProduk-001 ,88,905,3067,3831
12042024, DQProduk-001 ,138,1114,4656,7886
13042024, DQProduk-001 ,162,1429,7165,13004
14042024, DQProduk-001 ,173,1536,7544,9922
14042024, DQProduk-009 ,9,97,546,1020
15042024, DQProduk-001 ,127,1160,4362,5574
15042024, DQProduk-009 ,11,119,512,595
16042024, DQProduk-001 ,171,1471,4945,7002
16042024, DQProduk-009 ,17,163,691,704
17042024, DQProduk-001 ,53,437,1887,2076
17042024, DQProduk-009 ,26,289,1472,2845
18042024, DQProduk-001 ,72,742,4033,4799
18042024, DQProduk-009 ,32,351,1763,3085
19042024, DQProduk-001 ,89,795,4552,5681
19042024, DQProduk-009 ,87,707,2474,2994
20042024, DQProduk-001 ,70,576,2180,2667
20042024, DQProduk-009 ,116,978,5066,7450
21042024, DQProduk-001 ,83,912,5376,8287
21042024, DQProduk-009 ,92,1076,4432,8722
22042024, DQProduk-001 ,147,1433,5617,7744
22042024, DQProduk-009 ,180,1539,8958,12609
23042024, DQProduk-001 ,142,1140,5815,6504
23042024, DQProduk-009 ,123,1111,6281,9288
24042024, DQProduk-001 ,178,1443,5690,9395
24042024, DQProduk-009 ,69,611,2295,3601
25042024, DQProduk-001 ,32,330,1402,1835
25042024, DQProduk-009 ,27,294,1442,2804
26042024, DQProduk-001 ,62,566,2596,4541
26042024, DQProduk-009 ,55,569,2583,3602
27042024, DQProduk-001 ,93,951,2913,3383
27042024, DQProduk-009 ,75,875,4676,7082
28042024, DQProduk-001 ,81,700,3319,3444
28042024, DQProduk-009 ,157,1369,5172,6953
29042024, DQProduk-001 ,153,1831,10712,14065
29042024, DQProduk-009 ,195,1743,5236,8262
30042024, DQProduk-001 ,198,1655,9208,14397
30042024, DQProduk-009 ,176,2012,6691,10324
1052024, DQProduk-001 ,100,998,4445,7662
1052024, DQProduk-009 ,121,1288,6298,9020
2052024, DQProduk-001 ,67,611,2354,4674
2052024, DQProduk-009 ,128,1243,7029,11296
3052024, DQProduk-001 ,76,716,3961,4551
3052024, DQProduk-009 ,99,1015,6062,6945
4052024, DQProduk-001 ,60,628,2818,3908
4052024, DQProduk-009 ,52,553,3294,5431
5052024, DQProduk-001 ,79,844,3532,4670
5052024, DQProduk-009 ,86,786,3417,6185
6052024, DQProduk-001 ,143,1629,5476,7535
6052024, DQProduk-009 ,162,1813,10766,17832
7052024, DQProduk-001 ,87,731,4218,7414
7052024, DQProduk-009 ,102,1132,4472,6551
8052024, DQProduk-001 ,23,242,1218,1925
8052024, DQProduk-009 ,75,673,2200,4126
9052024, DQProduk-001 ,86,837,3773,6475
9052024, DQProduk-009 ,70,707,3297,6003
10052024, DQProduk-001 ,162,1589,9399,13454
10052024, DQProduk-009 ,176,1498,4594,7913
11052024, DQProduk-001 ,72,643,2904,3356
11052024, DQProduk-009 ,110,1073,5644,7845
12052024, DQProduk-001 ,148,1553,6767,6835
12052024, DQProduk-009 ,114,967,4316,5932
13052024, DQProduk-001 ,167,1779,8758,14675
13052024, DQProduk-009 ,100,893,4575,4978
14052024, DQProduk-001 ,145,1331,6858,9526
14052024, DQProduk-009 ,236,2549,13316,13386
15052024, DQProduk-001 ,146,1419,8502,10420
15052024, DQProduk-009 ,112,1248,4733,9139
16052024, DQProduk-001 ,58,560,2491,3939
16052024, DQProduk-009 ,116,1090,5325,9813
17052024, DQProduk-001 ,87,987,3996,4783
17052024, DQProduk-009 ,110,1271,4529,7213
18052024, DQProduk-001 ,92,852,2974,4878
18052024, DQProduk-009 ,58,539,2960,4639
19052024, DQProduk-001 ,222,2012,10374,12090
19052024, DQProduk-009 ,97,879,4578,6269
20052024, DQProduk-001 ,144,1486,7852,11085
20052024, DQProduk-009 ,245,2251,12718,21291
21052024, DQProduk-001 ,167,1512,5571,8476
21052024, DQProduk-009 ,174,1554,5194,8718
22052024, DQProduk-001 ,84,906,4220,7782
22052024, DQProduk-009 ,127,1354,5034,5198
23052024, DQProduk-001 ,82,888,3508,4803
23052024, DQProduk-009 ,82,687,2798,4509
24052024, DQProduk-001 ,116,1246,4016,5910
24052024, DQProduk-009 ,132,1371,7169,12990
25052024, DQProduk-001 ,99,1010,4410,8389
25052024, DQProduk-009 ,215,2388,12230,21652
26052024, DQProduk-001 ,75,757,2751,2967
26052024, DQProduk-009 ,95,890,4934,8428
27052024, DQProduk-001 ,235,2460,14099,26425
27052024, DQProduk-009 ,194,2063,7494,10354
28052024, DQProduk-001 ,164,1719,9714,11808
28052024, DQProduk-009 ,261,2149,12519,19618
29052024, DQProduk-001 ,78,930,4232,8296
29052024, DQProduk-009 ,99,890,4684,8718
30052024, DQProduk-001 ,184,2107,12095,21840
30052024, DQProduk-009 ,19,168,887,952
31052024, DQProduk-001 ,140,1419,4716,5750
31052024, DQProduk-009 ,32,339,1830,1911
1062024, DQProduk-001 ,59,510,2849,3949
1062024, DQProduk-009 ,28,247,1460,2348
2062024, DQProduk-001 ,151,1504,8589,12601
2062024, DQProduk-009 ,33,373,1837,3287
3062024, DQProduk-001 ,170,1484,6565,12785
3062024, DQProduk-009 ,55,585,3254,3390
4062024, DQProduk-001 ,190,2118,11177,19484
4062024, DQProduk-009 ,33,277,1458,2806
5062024, DQProduk-001 ,70,754,3198,3648
5062024, DQProduk-009 ,38,385,1734,3006
6062024, DQProduk-001 ,42,361,1581,2410
6062024, DQProduk-009 ,10,92,390,424
7062024, DQProduk-001 ,103,1181,4789,5526
7062024, DQProduk-009 ,28,329,1745,2740
8062024, DQProduk-001 ,88,754,2574,2836
8062024, DQProduk-009 ,3,28,105,185
9062024, DQProduk-001 ,156,1856,7010,13810
9062024, DQProduk-009 ,24,273,1309,1572
10062024, DQProduk-001 ,210,2399,9823,16994
10062024, DQProduk-009 ,9,88,437,716
11062024, DQProduk-001 ,186,1897,5996,8242
11062024, DQProduk-009 ,23,221,787,1063
12062024, DQProduk-001 ,149,1281,4505,7095
13062024, DQProduk-001 ,140,1135,5470,6515
13062024, DQProduk-009 ,25,222,707,1127
14062024, DQProduk-001 ,85,797,4777,8797
14062024, DQProduk-009 ,30,303,1349,2488
15062024, DQProduk-001 ,76,756,4110,7173
15062024, DQProduk-009 ,20,230,822,1109
16062024, DQProduk-001 ,170,1747,6456,8732
16062024, DQProduk-009 ,21,205,1227,2073
17062024, DQProduk-001 ,90,963,4977,7959
18062024, DQProduk-001 ,180,1636,9317,13222
18062024, DQProduk-009 ,6,57,266,393
19062024, DQProduk-001 ,172,1813,7765,10108
19062024, DQProduk-009 ,12,143,464,569
20062024, DQProduk-001 ,103,1151,4751,9360
21062024, DQProduk-001 ,56,588,1995,3194
22062024, DQProduk-001 ,123,1199,6353,8987
23062024, DQProduk-001 ,136,1140,4381,8294
24062024, DQProduk-001 ,148,1660,9669,17761
25062024, DQProduk-001 ,139,1360,7022,12765
26062024, DQProduk-001 ,184,2050,8370,10374
27062024, DQProduk-001 ,114,1130,3923,7513
28062024, DQProduk-001 ,101,911,2852,5150
28062024, DQProduk-009 ,11,127,741,1328
29062024, DQProduk-001 ,61,490,2687,4226
30062024, DQProduk-001 ,161,1763,7038,7598
1072024, DQProduk-001 ,94,794,2528,3934
2072024, DQProduk-001 ,251,2100,9101,12202
3072024, DQProduk-001 ,121,1259,6433,9604
4072024, DQProduk-001 ,79,701,3834,5731
5072024, DQProduk-001 ,132,1280,5423,8733
5072024, DQProduk-009 ,8,65,244,393
6072024, DQProduk-001 ,52,441,1366,1735
7072024, DQProduk-001 ,79,764,2427,3258
7072024, DQProduk-009 ,15,177,621,1189
8072024, DQProduk-001 ,175,1867,8373,14960
9072024, DQProduk-001 ,143,1428,7941,8139
10072024, DQProduk-001 ,11,113,637,793
11072024, DQProduk-001 ,96,1067,4792,8281
12072024, DQProduk-001 ,99,846,4474,6977
12072024, DQProduk-003 ,6,51,160,194
13072024, DQProduk-001 ,49,454,2373,4535
14072024, DQProduk-001 ,57,554,3067,5334
14072024, DQProduk-003 ,5,50,237,449
15072024, DQProduk-001 ,155,1820,9025,11061
16072024, DQProduk-001 ,182,2135,8985,14703
16072024, DQProduk-003 ,9,101,304,578
17072024, DQProduk-001 ,87,840,4037,7506
18072024, DQProduk-001 ,107,1239,7018,11102
19072024, DQProduk-001 ,99,873,4134,7517
20072024, DQProduk-001 ,62,650,2943,2944
21072024, DQProduk-001 ,53,475,1640,2304
22072024, DQProduk-001 ,79,642,2836,3795
23072024, DQProduk-001 ,82,707,2596,3189
23072024, DQProduk-009 ,5,41,236,414
24072024, DQProduk-001 ,122,1423,6643,7937
25072024, DQProduk-001 ,36,381,1631,2476
26072024, DQProduk-001 ,39,419,2050,2891
27072024, DQProduk-001 ,117,1371,6804,7759
28072024, DQProduk-001 ,125,1002,4013,7810
29072024, DQProduk-001 ,77,750,2619,3525
29072024, DQProduk-019 ,5,42,139,249
30072024, DQProduk-001 ,150,1796,10321,14856
31072024, DQProduk-001 ,142,1457,7589,8397
1082024, DQProduk-001 ,237,2694,11178,17362
2082024, DQProduk-001 ,150,1639,7994,14160
2082024, DQProduk-003 ,14,148,737,1421
3082024, DQProduk-001 ,98,1150,3985,5679
4082024, DQProduk-001 ,102,1060,4010,6793
5082024, DQProduk-001 ,86,803,3464,5570
6082024, DQProduk-001 ,108,888,3179,3823
6082024, DQProduk-019 ,17,190,959,1893
7082024, DQProduk-001 ,80,667,3950,5853
8082024, DQProduk-001 ,36,309,1517,2164
8082024, DQProduk-019 ,9,106,478,601
9082024, DQProduk-001 ,41,356,1839,3235
10082024, DQProduk-001 ,102,1212,6394,8149
11082024, DQProduk-001 ,131,1091,4416,8829
12082024, DQProduk-001 ,140,1244,5314,5733
13082024, DQProduk-001 ,122,1094,6152,10314
14082024, DQProduk-001 ,86,980,4039,4348
15082024, DQProduk-001 ,34,379,1567,2863
15082024, DQProduk-019 ,1,11,47,53
16082024, DQProduk-001 ,92,955,4544,4745
17082024, DQProduk-001 ,22,236,1135,1761
18082024, DQProduk-001 ,103,1197,4709,9294
19082024, DQProduk-001 ,107,909,3603,4425
20082024, DQProduk-001 ,92,1084,3928,7042
20082024, DQProduk-019 ,8,93,308,341
21082024, DQProduk-001 ,79,901,5361,8797
21082024, DQProduk-003 ,4,40,232,294
22082024, DQProduk-001 ,31,368,1555,1595
22082024, DQProduk-003 ,53,502,2157,4295
23082024, DQProduk-001 ,48,417,2032,2421
23082024, DQProduk-003 ,114,989,3870,4931
24082024, DQProduk-001 ,9,96,498,810
24082024, DQProduk-003 ,78,711,2988,5390
25082024, DQProduk-001 ,83,973,4281,5788
25082024, DQProduk-003 ,167,1879,10546,13516
26082024, DQProduk-001 ,61,530,2575,2670
26082024, DQProduk-003 ,158,1581,8331,14470
26082024, DQProduk-019 ,9,88,486,871
27082024, DQProduk-001 ,152,1510,8958,15136
27082024, DQProduk-003 ,125,1313,7734,8208
28082024, DQProduk-001 ,110,919,2957,5139
28082024, DQProduk-003 ,53,523,2732,3183
29082024, DQProduk-001 ,103,923,5231,6076
29082024, DQProduk-003 ,19,213,770,936
30082024, DQProduk-001 ,19,222,839,1280
30082024, DQProduk-003 ,88,948,3688,7055
30082024, DQProduk-019 ,4,47,57431,15799
31082024, DQProduk-001 ,39,431,1430,2518
31082024, DQProduk-003 ,96,1112,5182,6734
31082024, DQProduk-019 ,15,180,609,1121
1092024, DQProduk-001 ,57,669,3465,6721
1092024, DQProduk-003 ,126,1502,9011,16630
2092024, DQProduk-001 ,147,1472,7069,14091
2092024, DQProduk-003 ,230,1939,6433,10008
2092024, DQProduk-019 ,13,139,603,728
3092024, DQProduk-001 ,77,713,2965,4427
3092024, DQProduk-003 ,109,1288,7606,14715
3092024, DQProduk-019 ,12,141,807,1069
4092024, DQProduk-001 ,97,898,4205,6705
4092024, DQProduk-003 ,37,429,1541,2312
5092024, DQProduk-001 ,16,142,541,567
5092024, DQProduk-003 ,61,569,2676,2734
6092024, DQProduk-001 ,73,830,4407,4856
6092024, DQProduk-003 ,74,755,3868,4081
7092024, DQProduk-001 ,52,551,3056,3775
7092024, DQProduk-003 ,59,534,3034,3105
8092024, DQProduk-001 ,95,1014,4172,5247
8092024, DQProduk-003 ,35,353,1069,1549
9092024, DQProduk-001 ,99,1082,6132,12230
9092024, DQProduk-003 ,51,485,2507,4980
10092024, DQProduk-001 ,56,648,2178,3786
10092024, DQProduk-003 ,48,498,2722,3160
10092024, DQProduk-019 ,8,69,209,304
11092024, DQProduk-001 ,22,233,959,1552
11092024, DQProduk-003 ,52,607,2327,4092
12092024, DQProduk-001 ,50,449,1991,2295
12092024, DQProduk-003 ,50,419,1607,2161
12092024, DQProduk-019 ,20,239,930,1540
13092024, DQProduk-001 ,10,98,451,517
13092024, DQProduk-003 ,121,1376,4788,6630
14092024, DQProduk-001 ,59,486,2142,2816
14092024, DQProduk-003 ,89,855,3513,5849
15092024, DQProduk-001 ,61,708,4212,4304
15092024, DQProduk-003 ,121,1337,4531,5879
16092024, DQProduk-001 ,200,1631,6497,6639
16092024, DQProduk-003 ,367,3671,19401,22651
16092024, DQProduk-019 ,31,306,1586,2001
17092024, DQProduk-001 ,122,1156,4742,7351
17092024, DQProduk-003 ,245,2376,12582,13722
18092024, DQProduk-001 ,57,526,2502,3942
18092024, DQProduk-003 ,171,2028,8326,12704
18092024, DQProduk-019 ,19,162,753,1239
19092024, DQProduk-001 ,81,822,3967,7142
19092024, DQProduk-003 ,217,2565,14340,14528
20092024, DQProduk-001 ,64,718,3472,4527
20092024, DQProduk-003 ,200,1785,7796,15472
21092024, DQProduk-001 ,61,632,3158,3903
21092024, DQProduk-003 ,150,1273,4083,4654
21092024, DQProduk-019 ,5,46,151,215
22092024, DQProduk-001 ,56,591,2048,3649
22092024, DQProduk-003 ,357,2957,16938,31311
22092024, DQProduk-019 ,13,143,567,953
23092024, DQProduk-001 ,74,843,2599,4215
23092024, DQProduk-003 ,287,2903,14322,21961
24092024, DQProduk-001 ,107,1017,5020,5026
24092024, DQProduk-003 ,376,3608,17235,32518
24092024, DQProduk-019 ,9,81,395,464
25092024, DQProduk-001 ,42,502,1549,2274
25092024, DQProduk-003 ,144,1495,6018,11877
26092024, DQProduk-001 ,79,821,3722,4708
26092024, DQProduk-003 ,94,870,3512,5608
27092024, DQProduk-001 ,124,1179,3975,4660
27092024, DQProduk-003 ,111,1070,5970,7854
27092024, DQProduk-019 ,10,90,514,902
28092024, DQProduk-001 ,40,355,1786,2367
28092024, DQProduk-003 ,56,616,2044,2447
28092024, DQProduk-019 ,10,82,363,426
29092024, DQProduk-001 ,101,1002,3505,6220
29092024, DQProduk-003 ,106,1262,7192,8234
30092024, DQProduk-001 ,146,1523,7901,13461
30092024, DQProduk-003 ,104,1162,6586,12392
1102024, DQProduk-001 ,124,1301,7095,8823
1102024, DQProduk-003 ,100,870,3548,6143
2102024, DQProduk-001 ,83,874,3015,4795
2102024, DQProduk-003 ,45,538,2299,2369
3102024, DQProduk-001 ,56,509,2642,2930
3102024, DQProduk-003 ,71,674,2135,2233
4102024, DQProduk-001 ,84,986,4187,7278
4102024, DQProduk-003 ,97,966,4925,9326
4102024, DQProduk-019 ,2,17,66,114
5102024, DQProduk-001 ,7,82,298,589
5102024, DQProduk-003 ,177,1613,7480,9058
6102024, DQProduk-001 ,71,793,2674,4308
6102024, DQProduk-003 ,262,2864,9364,16604
7102024, DQProduk-001 ,88,908,3957,4804
7102024, DQProduk-003 ,283,3136,15306,18815
7102024, DQProduk-019 ,93,809,4126,7197
8102024, DQProduk-001 ,172,1875,7834,13217
8102024, DQProduk-003 ,409,3596,18985,24248
8102024, DQProduk-019 ,4,34,142,187
9102024, DQProduk-001 ,36,355,1791,3562
9102024, DQProduk-003 ,95,927,3908,4222
10102024, DQProduk-001 ,35,374,2071,2205
10102024, DQProduk-003 ,129,1146,4532,7875
10102024, DQProduk-019 ,30,326,1056,1550
11102024, DQProduk-001 ,63,590,3062,4729
11102024, DQProduk-003 ,99,814,4513,8518
12102024, DQProduk-001 ,58,539,3087,3811
12102024, DQProduk-003 ,197,1768,7790,8363
13102024, DQProduk-001 ,103,1045,5823,11591
13102024, DQProduk-003 ,167,1681,6221,9042
13102024, DQProduk-019 ,15,146,483,552
14102024, DQProduk-001 ,151,1360,6776,10461
14102024, DQProduk-003 ,460,4325,17386,21423
14102024, DQProduk-019 ,9,74,263,359
15102024, DQProduk-001 ,122,988,4872,5662
15102024, DQProduk-003 ,231,2102,7323,12684
16102024, DQProduk-001 ,24,249,1233,1335
16102024, DQProduk-003 ,172,1891,11099,14693
17102024, DQProduk-001 ,116,1270,4452,5540
17102024, DQProduk-003 ,120,1101,4307,5055
18102024, DQProduk-001 ,72,661,3344,4212
18102024, DQProduk-003 ,207,1804,8797,16042
18102024, DQProduk-019 ,5,53,163,296
19102024, DQProduk-001 ,81,650,3053,3527
19102024, DQProduk-003 ,181,1606,8548,14121
20102024, DQProduk-001 ,66,760,3607,4273
20102024, DQProduk-003 ,285,3269,14466,18253
21102024, DQProduk-001 ,133,1212,6587,7753
21102024, DQProduk-003 ,538,6381,28418,36534
21102024, DQProduk-019 ,8,70,358,473
22102024, DQProduk-001 ,72,730,4065,8082
22102024, DQProduk-003 ,448,4240,13926,19434
22102024, DQProduk-019 ,26,267,1025,1622
23102024, DQProduk-001 ,50,501,2538,4509
23102024, DQProduk-003 ,272,2839,15505,25415
24102024, DQProduk-001 ,128,1130,6271,8383
24102024, DQProduk-003 ,87,707,3685,5580
25102024, DQProduk-001 ,49,433,1733,1819
25102024, DQProduk-003 ,215,2239,7011,7517
25102024, DQProduk-019 ,9,85,399,664
26102024, DQProduk-001 ,94,793,3551,4892
26102024, DQProduk-003 ,173,1961,7655,7667
27102024, DQProduk-001 ,101,947,3421,4039
27102024, DQProduk-003 ,404,4446,17569,30907
28102024, DQProduk-001 ,94,1107,4014,7937
28102024, DQProduk-003 ,643,7268,24911,26432
28102024, DQProduk-019 ,24,284,959,1582
29102024, DQProduk-001 ,39,360,1921,3329
29102024, DQProduk-003 ,491,3958,21283,26083
29102024, DQProduk-019 ,23,199,914,1209
30102024, DQProduk-001 ,108,1259,7105,8890
30102024, DQProduk-003 ,215,2097,9989,12006
31102024, DQProduk-001 ,43,491,2354,2458
31102024, DQProduk-003 ,301,3447,10436,13317
1112024, DQProduk-001 ,128,1378,8237,13917
1112024, DQProduk-003 ,185,2065,7534,12913
2112024, DQProduk-001 ,106,905,4259,5812
